GEOGRAPHY_CODE,total
E05004699,5
E05007077,5
E05001825,285
W05000287,0
E05008894,10
E05002098,30
E05004338,0
E05008858,0
E05000401,30
E05007582,40
E05008027,25
E05008028,25
E05008029,20
E05001002,55
E05000670,95
E05001826,245
E05006423,10
W05000048,0
E05000573,120
E05000574,140
W05000594,20
W05000836,130
W05000459,15
W05000114,5
W05000113,0
W05000367,5
E05001665,30
E05000402,55
E05001687,25
E05002457,215
E05007631,60
E05007929,15
E05001599,140
E05006525,10
E05006526,10
E05006527,10
E05006528,15
E05006529,15
E05001284,110
E05005380,0
E05003533,20
E05003562,5
E05000106,40
E05004096,10
E05004869,10
E05001137,175
E05007041,50
E05007042,0
E05007043,10
E05007044,0
E05007045,15
E05003616,40
E05003617,40
E05003618,40
E05008586,15
E05000955,215
E05002597,0
E05000107,45
E05008782,45
E05008783,25
W05000460,50
E05001827,205
E05006988,35
E05004021,20
E05004022,20
E05005454,0
E05001181,285
E05008825,35
E05000916,45
E05001527,80
E05001528,105
E05001529,35
E05001530,70
E05001531,15
E05005620,30
E05007646,20
E05005294,0
E05001321,230
E05001322,145
E05007494,10
E05006238,5
E05005560,5
E05002272,15
E05006490,15
E05006491,15
E05001342,70
E05001343,75
E05001219,185
E05008480,5
E05004465,0
E05002737,10
E05002291,10
E05005360,50
E05004121,5
E05008708,5
E05001845,5
E05008717,105
E05001579,15
E05001304,270
E05005082,15
E05005083,35
E05005608,100
E05001600,55
E05000933,50
E05000956,435
E05001042,85
E05005428,20
E05005429,25
E05001392,85
E05001067,65
E05002194,95
E05002351,0
E05007963,80
E05006239,5
E05000416,60
E05008143,10
E05006858,15
E05006859,20
E05003534,0
E05004716,15
E05004717,20
E05004718,15
E05004719,5
E05004720,10
E05007543,10
E05004652,15
E05001532,30
E05003592,0
E05004497,10
E05004498,20
E05001975,40
W05000515,10
E05001976,80
E05001746,5
E05004380,5
E05007376,0
E05001644,20
E05002458,165
E05002459,65
E05002044,10
E05007118,15
E05005408,15
E05004037,5
E05006546,50
E05000917,65
E05003390,15
E05006860,0
E05006819,0
E05000066,15
E05007964,95
E05001261,115
E05000438,90
E05000215,45
E05007412,0
W05000595,15
E05006820,15
E05003696,10
E05005251,0
E05000575,160
E05004633,0
E05004548,10
E05003304,25
W05000724,60
E05008662,205
W05000288,0
W05000768,65
W05000596,10
W05000555,20
E05002009,5
E05001771,55
W05000938,35
E05004339,0
E05007930,10
E05001090,130
E05001305,235
E05001323,145
E05006028,0
E05003697,0
E05003698,0
E05003699,10
E05003700,15
E05003701,15
E05002099,75
E05001068,95
E05004904,0
E05002675,10
E05000067,30
E05002213,50
E05007409,10
E05002397,95
E05006606,5
E05006467,20
E05006029,10
E05004311,0
E05005759,10
E05001645,180
E05000129,35
E05006530,20
E05001306,145
E05001307,145
E05005105,5
E05000934,40
E05002148,10
E05008718,30
E05008719,70
E05006378,0
E05001285,25
E05007230,5
E05004653,10
E05004870,20
E05004038,20
E05004039,30
E05004040,30
E05004230,50
W05000150,10
W05000005,5
E05008200,55
E05008201,30
E05008202,45
W05000006,0
E05000918,100
E05001138,95
E05004584,10
E05007068,45
E05006941,10
E05000476,90
E05008613,10
E05007670,10
E05003305,30
E05003306,10
E05003307,15
E05006275,0
E05001344,190
E05005223,10
E05003116,0
E05004569,55
E05006942,20
E05008546,15
E05006424,45
W05000049,0
W05000516,65
E05002676,35
E05007312,10
E05007313,0
E05008720,60
E05001666,60
E05000760,30
E05008826,5
E05003182,0
E05005057,10
E05001182,495
E05004097,10
E05004748,25
E05004749,65
E05004750,40
E05004751,25
E05005106,15
E05006240,0
W05000238,5
W05000368,10
E05002113,65
E05002114,75
E05007602,5
E05001019,170
E05005455,5
E05003160,60
E05008030,25
E05004499,15
E05001733,30
E05005496,5
E05002716,0
E05000325,120
E05008663,35
E05006468,45
E05004871,20
E05004985,5
E05005058,20
E05005945,0
E05005252,5
E05005609,55
E05001772,100
E05000267,80
E05002795,15
E05005382,25
E05005666,35
E05002677,0
E05006943,0
E05004634,5
E05005667,25
E05008331,5
E05001183,270
E05003702,5
E05004312,10
E05003593,20
E05004700,15
E05000576,145
E05000577,90
E05007897,10
E05008144,20
E05000821,20
E05002678,30
E05000193,85
E05005295,0
E05001345,340
E05005877,85
W05000051,15
E05007314,0
E05008332,5
E05007078,5
E05007603,5
E05004986,10
E05004701,15
E05004083,10
E05002045,10
E05002352,10
E05005610,35
E05005621,35
W05000604,105
E05006030,5
E05006031,10
E05006032,5
E05008721,55
E05004231,0
E05000690,245
E05003738,5
E05001346,285
E05008333,5
E05008334,20
E05006861,5
E05008481,15
E05005253,70
E05003594,15
E05002046,15
E05002047,0
E05002048,20
E05003510,5
E05003739,5
E05000651,95
E05005084,10
E05002398,70
E05006965,30
E05003345,0
E05005784,20
E05005785,20
E05004041,15
E05006033,5
E05007515,0
E05003346,0
W05000007,5
E05004042,60
E05004043,45
E05004044,50
E05007647,5
E05008549,15
E05006408,10
E05007136,10
E05000779,30
E05000780,10
E05002195,10
E05004437,15
E05001416,185
E05007413,5
E05003161,15
E05002763,15
E05000068,15
E05005946,5
E05003419,0
E05004585,0
E05004466,10
E05005802,5
E05007965,85
E05007104,25
E05007105,5
E05001184,330
E05002132,20
E05002133,25
E05004586,15
E05001667,170
E05001668,150
E05006920,15
E05005622,15
E05003183,20
E05005009,5
E05003535,0
E05004721,0
E05005947,10
E05001806,0
E05001788,180
E05003536,5
E05003537,5
E05002353,5
E05003931,40
E05006344,5
E05000006,0
E05008203,5
E05004340,15
E05003368,10
E05005383,0
E05000782,85
E05000781,60
E05003967,15
E05007898,5
E05005516,10
E05000652,195
E05005131,20
E05008917,0
E05004927,25
E05000347,120
E05004067,20
E05004068,25
E05004069,35
E05008614,15
E05006902,20
E05005914,5
E05007899,5
E05007079,5
E05002170,90
E05002171,20
E05006989,10
E05008859,15
E05008595,40
E05008751,35
E05001669,30
E05003639,0
E05006469,55
E05004987,30
E05007119,90
E05001828,155
