GEOGRAPHY_CODE,total
E36001050,25
E36001051,45
E36001052,30
E36001053,25
E36001054,25
E36001055,20
E36001056,15
E36001057,0
E36001058,15
E36001059,10
E36001060,5
E36001061,25
E36001062,10
E36001063,100
E36001064,55
E36001065,55
E36001066,100
E36001067,35
E36001068,15
E36001069,20
E36001070,50
E36001071,80
E36001072,95
E36001073,85
E36001074,35
E36001075,40
E36001076,35
E36001077,110
E36001078,100
E36001079,75
E36001080,115
E36001081,55
E36001082,115
E36001083,80
E36001084,120
E36001085,130
E36001086,70
E36001087,115
E36001088,95
E36001089,45
E36001090,115
E36001091,20
E36001092,40
E36001093,40
E36001094,115
E36001095,45
E36001096,75
E36001097,150
E36001098,25
E36001099,60
E36001100,55
E36001101,80
E36001102,10
E36001103,30
E36001104,50
E36001105,55
E36001106,135
E36001107,85
E36001108,50
E36001109,25
E36001110,20
E36001111,60
E36001112,120
E36001113,95
E36001114,115
E36001115,75
E36001116,125
E36001117,70
E36001118,85
E36001119,75
E36001120,75
E36001121,25
E36001122,50
E36001123,110
E36001124,85
E36001125,130
E36001126,35
E36001127,35
E36001128,10
E36001129,85
E36001130,5
E36001131,25
E36001132,65
E36001133,35
E36001134,10
E36001135,25
E36001136,25
E36001137,20
E36001138,25
E36001139,0
E36001140,45
E36001141,45
E36001142,105
E36001143,5
E36001144,75
E36001145,50
E36001146,35
E36001147,15
E36001148,20
E36001149,25
E36001150,50
E36001151,105
E36001152,20
E36001153,25
E36001154,20
E36001155,10
E36001156,15
E36001157,15
E36001158,5
E36001159,140
E36001160,40
E36001161,10
E36001162,105
E36001163,90
E36001164,10
E36001165,5
E36001166,40
E36001167,20
E36001168,15
E36001169,25
E36001170,45
E36001171,90
E36001172,10
E36001173,20
E36001174,10
E36001175,10
E36001176,5
E36001177,10
E36001178,0
E36001179,35
E36001180,20
E36001181,10
E36001182,45
E36001183,75
E36001184,20
E36001185,40
E36001186,15
E36001187,5
E36001188,20
E36001189,15
E36001190,20
E36001191,40
E36001192,15
E36001193,10
E36001194,40
E36001195,10
E36001196,10
E36001197,15
E36001198,40
E36001199,10
E36001200,5
E36001201,50
E36001202,30
E36001203,115
E36001204,105
E36001205,25
E36001206,100
E36001207,65
E36001208,75
E36001209,5
E36001210,10
E36001211,10
E36001212,40
E36001213,10
E36001214,5
E36001215,30
E36001216,15
E36001217,50
E36001218,20
E36001219,25
E36001220,50
E36001221,15
E36001222,35
E36001223,45
E36001224,5
E36001225,35
E36001226,20
E36001227,20
E36001228,10
E36001229,5
E36001230,0
E36001231,10
E36001232,20
E36001233,10
E36001234,10
E36001235,10
E36001236,10
E36001237,10
E36001238,0
E36001239,0
E36001240,10
E36001241,5
E36001242,10
E36001243,10
E36001244,5
E36001245,205
E36001246,35
E36001247,35
E36001248,20
E36001249,30
E36001250,10
E36001251,155
E36001252,15
E36001253,5
E36001254,25
E36001255,35
E36001256,5
E36001257,70
E36001258,15
E36001259,20
E36001260,25
E36001261,10
E36001262,45
E36001263,5
E36001264,55
E36001265,10
E36001266,20
E36001267,5
E36001268,30
E36001269,25
E36001270,40
E36001271,35
E36001272,0
E36001273,75
E36001274,5
E36001275,10
E36001276,75
E36001277,5
E36001278,45
E36001279,0
E36001280,10
E36001281,5
E36001282,40
E36001283,40
E36001284,25
E36001285,0
E36001286,80
E36001287,135
E36001288,70
E36001289,80
E36001290,40
E36001291,10
E36001292,25
E36001293,5
E36001294,10
E36001295,15
E36001296,25
E36001297,15
E36001298,10
E36001299,20
E36001300,35
E36001301,25
E36001302,30
E36001303,10
E36001304,10
E36001305,40
E36001306,10
E36001307,5
E36001308,25
E36001309,5
E36001310,20
E36001311,0
E36001312,5
E36001313,10
E36001314,15
E36001315,20
E36001316,45
E36001317,20
E36001318,10
E36001319,10
E36001320,15
E36001321,15
E36001322,25
E36001323,10
E36001324,15
E36001325,45
E36001326,40
E36001327,25
E36001328,25
E36001329,10
E36001330,60
E36001331,30
E36001332,30
E36001333,5
E36001334,20
E36001335,25
E36001336,15
E36001337,5
E36001338,10
E36001339,10
E36001340,15
E36001341,20
E36001342,10
E36001343,10
E36001344,5
E36001345,35
E36001346,10
E36001347,10
E36001348,35
E36001349,40
E36001350,50
E36001351,25
E36001352,15
E36001353,10
E36001354,10
E36001355,55
E36001356,30
E36001357,45
E36001358,5
E36001359,35
E36001360,20
E36001361,30
E36001362,25
E36001363,50
E36001364,25
E36001365,30
E36001366,35
E36001367,25
E36001368,35
E36001369,40
E36001370,10
E36001371,15
E36001372,15
E36001373,15
E36001374,20
E36001375,5
E36001376,50
E36001377,20
E36001378,10
E36001379,10
E36001380,10
E36001381,15
E36001382,15
E36001383,10
E36001384,15
E36001385,25
E36001386,20
E36001387,10
E36001388,5
E36001389,10
E36001390,15
E36001391,10
E36001392,25
E36001393,15
E36001394,35
E36001395,15
E36001396,50
E36001397,15
E36001398,40
E36001399,10
E36001400,5
E36001401,20
E36001402,0
E36001403,10
E36001404,5
