"GEOGRAPHY_CODE","GEOGRAPHY_NAME","Female","Female","Male","Male","Total","Total"
"95JJ19","Strand (Coleraine LGD)",0,0,0,0,0,0
"95JJ20","The Cuts",5,5,5,10,10,10
"95JJ21","University",5,5,5,10,15,10
"95JJ22","Waterside",5,5,0,0,5,5
"95KK01","Ardboe",0,0,0,5,5,0
"95KK02","Coagh",0,0,0,0,0,0
"95KK03","Dunnamore",5,0,0,0,5,0
"95KK04","Gortalowry",5,0,5,0,5,5
"95KK05","Killycolpy",5,0,5,5,10,5
"95KK06","Killymoon",0,0,0,5,5,5
"95KK07","Lissan",5,0,0,0,5,0
"95KK08","Moneymore",5,0,0,5,10,5
"95KK09","Newbuildings",0,5,5,5,5,10
"95KK10","Oaklands",0,0,0,0,5,0
"95KK11","Oldtown",0,0,5,5,10,5
"95KK12","Pomeroy",0,5,5,5,10,5
"95KK13","Sandholes",0,0,0,5,5,0
"95KK14","Stewartstown",0,0,0,5,5,0
"95KK15","The Loop",0,5,0,5,5,5
"95KK16","Tullagh",0,5,0,0,5,5
"95LL01","Aghagallon",5,0,0,5,10,0
"95LL02","Annagh",0,5,5,10,15,10
"95LL03","Ballybay",5,5,5,5,10,10
"95LL04","Ballyoran",5,5,0,0,5,5
"95LL05","Bleary",0,0,5,10,10,5
"95LL06","Brownstown",5,5,5,10,10,10
"95LL07","Church",5,10,5,10,15,15
"95LL08","Corcrain",5,5,10,10,15,10
"95LL09","Court",15,5,10,15,25,15
"95LL10","Derrytrasna",5,0,10,5,10,5
"95LL11","Donaghcloney",5,0,5,5,10,5
"95LL12","Drumgask",10,5,5,20,25,10
"95LL13","Drumgor",5,5,5,5,15,10
"95LL14","Drumnamoe",5,5,10,10,15,15
"95LL15","Edenderry (Craigavon LGD)",5,0,5,5,5,5
"95LL16","Kernan",10,0,10,10,20,10
"95LL17","Killycomain",0,0,0,5,10,5
"95LL18","Knocknashane",10,0,5,5,10,5
"95LL19","Magheralin",5,5,5,0,10,5
"95LL20","Mourneview",0,0,5,10,15,5
"95LL21","Parklake",5,5,5,5,10,10
"95LL22","Taghnevan",5,5,5,10,15,10
"95LL23","Tavanagh",5,0,5,0,10,0
"95LL24","The Birches",5,0,0,0,5,5
"95LL25","Waringstown",0,0,5,0,5,5
"95LL26","Woodville",10,5,5,10,20,10
"95MM01","Altnagelvin",10,10,10,15,25,20
"95MM02","Ballynashallog",5,0,5,5,10,5
"95MM03","Banagher",5,0,10,10,10,10
"95MM04","Beechwood",5,0,15,5,20,5
"95MM05","Brandywell",10,5,5,15,20,10
"95MM06","Carn Hill",10,5,5,10,20,10
"95MM07","Caw",5,5,15,5,20,10
"95MM08","Clondermot",5,0,5,5,10,5
"95MM09","Claudy",10,5,5,5,15,10
"95MM10","Creggan Central",15,5,20,10,35,15
"95MM11","Creggan South",5,10,10,20,25,15
"95MM12","Crevagh",10,15,30,25,40,40
"95MM13","Culmore",25,10,35,15,60,25
"95MM14","Ebrington",15,5,15,10,25,20
"95MM15","Eglinton",10,0,5,10,20,5
"95MM16","Enagh (Derry LGD)",5,5,10,20,25,15
"95MM17","Foyle Springs",5,5,10,15,15,20
"95MM18","Holly Mount",5,5,5,5,10,10
"95MM19","Kilfennan",5,5,10,0,15,10
"95MM20","Lisnagelvin",5,5,10,10,10,15
"95MM21","New Buildings",5,0,10,10,15,10
"95MM22","Pennyburn",5,0,5,5,5,5
"95MM23","Rosemount",5,5,15,15,20,20
"95MM24","Shantallow East",5,5,10,25,30,15
"95MM25","Shantallow West",30,20,35,20,65,40
"95MM26","Springtown",5,5,10,15,20,15
"95MM27","Strand (Derry LGD)",10,10,35,20,45,35
"95MM28","The Diamond",20,5,15,10,35,10
"95MM29","Victoria (Derry LGD)",10,10,10,20,20,25
"95MM30","Westland",5,5,10,10,15,15
"95NN01","Ardglass",5,5,10,5,15,10
"95NN02","Audley's Acre",5,0,5,5,10,5
"95NN03","Ballymaglave",0,0,5,5,5,5
"95NN04","Ballymote",5,5,5,10,15,10
"95NN05","Ballynahinch East",5,0,5,10,15,5
"95NN06","Castlewellan",5,0,5,5,10,5
"95NN07","Cathedral",5,0,20,5,25,10
"95NN08","Crossgar",0,5,0,10,10,5
"95NN09","Derryboy",0,0,0,5,5,0
"95NN10","Donard",5,0,0,5,10,0
"95NN11","Drumaness",5,0,5,10,15,5
"95NN12","Dundrum",0,0,5,5,5,10
"95NN13","Dunmore",10,0,0,5,10,0
"95NN14","Killough",0,0,10,10,10,10
"95NN15","Killyleagh",5,5,5,15,20,10
"95NN16","Kilmore",5,0,0,5,10,0
"95NN17","Murlough",5,5,0,10,15,5
"95NN18","Quoile",5,5,5,10,15,5
"95NN19","Saintfield",5,0,5,0,10,5
"95NN20","Seaforde",0,0,0,10,10,5
"95NN21","Shimna",5,0,0,5,5,5
"95NN22","Strangford",5,5,10,5,15,5
"95NN23","Tollymore",5,0,5,5,10,5
"95OO01","Altmore",0,0,0,0,5,0
"95OO02","Augher",0,0,0,0,0,0
"95OO03","Aughnacloy",0,0,0,0,5,0
"95OO04","Ballygawley",0,5,0,5,0,10
"95OO05","Ballysaggart",5,0,5,5,10,5
"95OO06","Benburb",0,0,5,0,5,5
"95OO07","Caledon",0,0,0,0,0,5
"95OO08","Castlecaulfield",5,0,0,5,5,5
"95OO09","Clogher",5,0,0,0,5,5
